1,(单选题)双峰监管型的代表国家是（）。,<p>A美国</p><p>B日本</p><p>C英国</p><p>D澳大利亚</p>,4,D,澳大利亚和荷兰是"双峰"监管型的代表。,0,0
1,(单选题)（）是指根据保险公司的委托，向保险公司收取佣金在保险公司授权的范围内专门代为办理保险业务的机构。,<p>A保险公司</p><p>B保险专业代理机</p><p>C保险经纪机构</p><p>D保险公估机构</p>,4,B,保险专业代理机构是指根据保险公司的委托，向保险公司收取佣金，在保险公司授权的范围内专门代为办理保险业务的机构。,0,0
1,(单选题)（）是指交易双方约定在未来的一定期限内，根据约定数量的同种货币的名义本金交换利息额的金融合约。,<p>A商品期货</p><p>B金融期货</p><p>C利率互</p><p>D货币互</p>,4,C,利率互换是指交易双方约定在未来的一定期限内，根据约定数量的同种货币的名义本金交换利息额的金融合约。,0,0
1,(单选题)（）是指民事主体在进行民事活动时必须行使民事权利，在行使民事权利时不得损害他人利益和社会利益。,<p>A禁止权利滥用原则</p><p>B公序良俗原则</p><p>C守法原则</p><p>D诚实信用原则</p>,4,A,禁止权利滥用原则是指民事主体应依据社会公认的公平观念从事民事活动，以维持当事人之间的利益均衡。,0,0
1,(单选题)（）是指因利率水平，期限结构等要素发生不利变动，导致银行账户整体利益和经济价值遭受损失的风险。,<p>A流动性风险管理</p><p>B资金管理风险</p><p>C银行账户利率风险管理</p><p>D定价管理</p>,4,C,银行账户利率风险管理是指因利率水平，期限结构等要素发生不利变动，导致银行账户整体利益和经济价值遭受损失的风险。,0,0
1,(单选题)（）是指由国务院授权成立的中国银行业监督管理委员会同意监督管理银行，金融资产管理公司，信托投资公司及其他存款类金融机构，维护银行业的合法，稳健运行。,<p>A银行自我监管</p><p>B银行业外部监管</p><p>C行业自律</p><p>D市场约束</p>,4,B,银行业外部监管是监管的最高层次，是由国务院授权成立的中国银行业监督管理委员会同意监督管理银行，金融资产管理公司，信托投资公司及其他存款类金融机构，维护银行业的合法，稳健运行。,0,0
1,(单选题)（）又称利率敏感性缺口管理法，是利率风险管理的重要工具。,<p>A利率管理</p><p>B久期管理</p><p>C缺口管理</p><p>D资本管理</p>,4,C,缺口管理又称敏感性缺口管理法，是利率风险管理的重要工具。,0,0
1,(单选题)（）指货币政策工具通过调控货币供给量的增加和减少，影响到银行的规模和结构变化，从而对实际经纪产生的影响,<p>A利率渠道</p><p>B资产价格渠道</p><p>C汇率渠道</p><p>D信贷渠道</p>,4,D,信贷渠道指货币政策工具通过调控货币供给量的增加和减少，影响到银行的规模和结构变化，从而对实际经纪产生的影响。,0,0
1,(单选题)《民法通则》根据人的年龄、智力与精神状况，将自然人的行为能力分为（）。,"<p>A完全民事行为能力,限制行为能力,无民事行为能力</p><p>B一般民事行为能力,大量民事能力,无民事行为能力</p><p>C大量民事行为能力,限制行为能力,无民事行为能力</p><p>D完全民事行为能力,一般民事行为能力,无民事行为能力</p>",4,A,《民法通则》根据人的年龄、智力与精神状况，将自然人的行为能力分为三类：完全民事行为能力、限制行为能力、无民事行为能力。,0,0
1,(单选题)《物权法》于（）年实施。,<p>A2005</p><p>B2006</p><p>C2007</p><p>D2008</p>,4,C,《物权法》于2007年实施.,0,0
1,(单选题)《资本办法》规定商业银行资本规划应至少设定内部资本充足率（）目标。,<p>A3年</p><p>B2年</p><p>C5年</p><p>D1年</p>,4,A,《资本办法》规定商业银行资本规划应至少设定内部资本充足率3年目标。,0,0
1,(单选题)2015年5月11日，中国人民银行对金融机构存贷款利率浮动区间进行了调整，调整为基准利率的（）,<p>A1.5倍</p><p>B1倍</p><p>C2倍</p><p>D3倍</p>,4,A,2015年5月11日，中国人民银行对金融机构存贷款利率浮动区间进行了调整，调整为基准利率的1.5倍。,0,0
1,(单选题)保证担保的范围不包括（）。,<p>A主债权及利息</p><p>B违约金</p><p>C拖延费</p><p>D损害赔偿金</p>,4,C,保证担保的范围包括主债权及利息，违约金，损害赔偿金和实现债权的费用。,0,0
1,(单选题)被称为保密天堂的国家和地区一般不具有的特征是（）。,<p>A有严格的公司保密法</p><p>B有宽松的金融规则</p><p>C有严格的银行保密法</p><p>D有严格的开办公司法律限制</p>,4,D,保密天堂的国家允许建立空壳公司自由的公司法。,0,0
1,(单选题)标准法将银行全部业务划分为（）个业务线条,<p>A7</p><p>B8</p><p>C9</p><p>D10</p>,4,C,与基本指标法不同，标准法将银行全部业务划分为公司金融、交易和销售、零售银行、商业银行、支付和清算、代理服务、资产管理、零售经纪，和他其业务等9个业务线条，操作风险资本要求等于各线条三年总收入的平均值乘上一个固定比例力加总。,0,0
1,(单选题)不属于证登记结算有限责任公司的职能的是（）,<p>A证账户，结算账户设立和管理</p><p>B接受上市申请，安排证上市</p><p>C证的存管和过户</p><p>D证持有人名册登记及权益登记</p>,4,B,本题考查的是证登记结算有限责任公司的职能。,0,0
1,(单选题)操作风险的计量方法不包括（）。,<p>A基本指标法</p><p>B标准法</p><p>C内部模型法</p><p>D高级计量法</p>,4,C,《商业银行资本管理办法（试行）》规定，商业银行可以使用基本指标、标准法或高级计量法计量操作风险资本要求。,0,0
1,(单选题)存放同业属于商业银行的（）。,<p>A中间业务</p><p>B资产业务</p><p>C负债业务</p><p>D代理业务</p>,4,B,参加教材73页。同业存放是银行的负债业务，存放同业是银行的资产业务。,0,0
1,(单选题)代理的种类不包括（）。,<p>A法定代理</p><p>B直接代理</p><p>C委托代理</p><p>D指定代理</p>,4,B,根据《民法通则》第六十四条的规定，代理包括法定代理、委托代理和指定代理。,0,0
1,(单选题)当日成交后，当日、次日或隔日等几日内进行交割（即一方支付款项，另一方支付证券等金融工具）的市场是（）,<p>A现货市场</p><p>B发行市场</p><p>C期货市场</p><p>D流通市场</p>,4,A,现货市场是当日成交后，当日、次日或隔日等几日内进行交割（即一方支付款项，另一方支付证券等金融工具）的市场。,0,0
1,(单选题)抵消的作用不包括（）。,<p>A简化交易程序</p><p>B降低交易成本</p><p>C提高交易安全性</p><p>D提高交易速度</p>,4,D,抵消具有简化交易程序，降低交易成本，提高交易的安全性的作用。,0,0
1,(单选题)对银行业金融机构审查董事和高级管理人员的任职资格的申请，银监会应当在自收到申请文件之日起（）日内做出批准或者不批准的书面决定。,<p>A20</p><p>B30</p><p>C45</p><p>D60</p>,4,B,对银行业金融机构审查董事和高级管理人员的任职资格的申请，银监会应当在自收到申请文件之日起30日内做出批准或者不批准的书面决定。,0,0
1,(单选题)非国有的公司、企业或者其他单位的非国家工作人员利用职务上的便利，索取他人财物或非法收受他人财物，为他人谋取利益，数额较大的行为构成（）。,<p>A受贿罪</p><p>B非国家工作人员受贿罪</p><p>C职务侵占罪</p><p>D贪污罪</p>,4,B,非国家工作人是受贿罪，是指非国有的公司、企业或者其他单位的非国家工作人员利用职务上的便利，索取他人财物或非法收受他人财物，为他人谋取利益，数额较大的行为。,0,0
1,(单选题)风险免疫管理策略的核心思想是通过资产久期和负债久期的匹配，实现（）相互抵消，进而锁定整体收益率。,<p>A利率风险和负债风险</p><p>B利率风险个在投资风险</p><p>C利率风险和流动性风险</p><p>D利率风险和结构风险</p>,4,B,风险免疫管理策略的核心思想是通过资产久期和负债久期的匹配，实现利率风险个在投资风险相互抵消，进而锁定整体收益率。,0,0
1,(单选题)根据《中华人民共和国商业银行法》的规定，商业银行经营应遵守的基本原则的顺序是（）。,<p>A安全性，流动性，效益性</p><p>B安全性，效益性，流动性</p><p>C流动性，安全性，效益性</p><p>D效益性，安全性，流动性</p>,4,A,中华人民共和国商业银行法》第四条明确规定了“商业银行以安全性、流动性、效益性为经营原则，实行自主经营，自担风险，自负盈亏，自我约束”。,0,0
1,(单选题)根据《中华人民共和国银行业监督管理法》的规定对发生风险的银行业金融机构的处方式不包括（）。,<p>A接管</p><p>B拍卖</p><p>C重组</p><p>D撤销</p>,4,B,按照《银行业监督管理法》的规定，对发生风险的银行业金融机构进行处置的方式主要有接管、重组、撤销和依法宣告破产。,0,0
1,(单选题)公司申请债券上市，公司债券实际发行额不少于人民币（）。,<p>A1000万元</p><p>B3000万元</p><p>C5000万元</p><p>D1亿元</p>,4,C,公司申请债券上市，公司债券实际发行额不少于人民币5000万元。,0,0
1,(单选题)关于成本收入比，下列说法不正确的是（）。,<p>A在资金投入环节，提高效率的重点是降低资金成本，即在负载结构中加大零售存款和活期存款的比重，将存款比提高到合理水平</p><p>B成本收入比，可以称为经营性效率问题，其改善的途径是合理配备资源，加强成本控制</p><p>C成本收入比=（营业费用/营业收入）*100％</p><p>D成本收入比表示的是每获得一个单位的营业净收入所消耗的成本和费用</p>,4,C,C.选择中应是，成本收入比=（营业费用/营业净收入）*100％。,0,0
1,(单选题)国家开发银行与（）批准设立。,<p>A1994年3月</p><p>B1994年7月1日</p><p>C1993年7月</p><p>D2008年2月</p>,4,A,国家开发银行于1994年3月成立，同年7月1日正式开业。,0,0
1,(单选题)国内生产总值（GDP）增长率是反映一定时期经济发展水平变化程度（）,<p>A最终成果</p><p>B唯一指标</p><p>C静态指标</p><p>D动态指标</p>,4,D,国内生产总值（GDP）增长率是反映一定时期经济发展水平变化程度动态指标。,0,0
1,(单选题)衡量短期资产负债效率的核心指标是（）,<p>A净现金流量</p><p>B净资产利息</p><p>C净资产产出</p><p>D净利息收益率</p>,4,D,衡量短期资产负债效率的核心指标是净利息收益率。,0,0
1,(单选题)甲公司向乙银行交付10万元，申请签发银行汇票向丙公司付款。这份汇票当事人的关系为（）。,<p>A出票人乙银行，付款人乙银行，收款人丙公司</p><p>B出票人甲公司，付款人甲公司，收款人丙公司</p><p>C出票人甲公司，付款人乙银行，收款人丙公司</p><p>D出票人乙银行，付款人甲公司，收款人丙公司</p>,4,D,甲公司向乙银行交付10万元，申请签发银行汇票向丙公司付款。这份汇票当事人的关系为出票人乙银行，付款人甲公司，收款人丙公司,0,0
1,(单选题)金融机构信息披露中资本充足状况不包括（）。,<p>A资本收益率</p><p>B总资本结构</p><p>C风险资产总额</p><p>D呆账准备金水平和政策</p>,4,A,资本充足状况，包括总资本结构、核心资本和附属资本结构、风险资产总额、资本净额的数量和结构、资本充足比例及计算方法，呆账准备金水平和政策等。,0,0
1,(单选题)利息是指在（）中债务人支付给债权人的报酬，也就是资金的价格。,<p>A债权债务管理</p><p>B所有权关系</p><p>C信用关系</p><p>D信贷关系</p>,4,C,利息是指在信用关系中债务人支付给债权人的报酬，也就是资金的价格。,0,0
1,(单选题)民事行为被确认为无效或被撤销后，产生的法律效果不包括（）,<p>A返还财产</p><p>B赔偿损失</p><p>C追缴财产</p><p>D没收财产</p>,4,D,民事行为被确认为无效或被撤销后，产生的法律效果包括返还财产，赔偿损失，追缴财产。,0,0
1,(单选题)某企业被依法宣告破产后，经拨付破产费用和共同债务后，破产财产合计3亿元人民币。该企业所欠税款为1亿元人民币，欠职工工资和劳动报酬费用为1亿元人民币，欠银行2亿元人民币，则银行可以收回的债权为（）人民币。,<p>A2亿元</p><p>B1亿元</p><p>C1.5亿元</p><p>D5000万元</p>,4,B,银行的普通破产债权清偿顺序在职工工资和劳动保险费用、所欠税款之后，所以银行可以收回的债权=3-1-1=1(亿元)。,0,0
1,(单选题)某市拥有500万人口，其中从业人数450万，登记失业人数15万，该市统计部门公布的失业率应为（）。,<p>A0.03</p><p>B0.032</p><p>C0.035</p><p>D0.038</p>,4,B,城镇登记失业率，即城镇登记失业人数占城镇从业人数与城镇登记失业人数之和的百分比。即；15/465=3.2％。,0,0
1,(单选题)目前我国最常用的衡量经济增长的宏观经济指标是（）。,<p>A通货膨胀率</p><p>B失业率</p><p>C国内生产总值</p><p>D国民生产总值</p>,4,C,衡量经济增长的宏观经济指标是国内生产总值；充分就业的宏观经济衡量指标是失业率；衡量物价水平的宏观经济指标是通货膨胀率。,0,0
1,(单选题)内部控制应当与管理模式、业务规模、产品复杂程度、风险状况程度相适应，并根据情况变化及时进行调整，这体现了内部控制的（）原则。,<p>A全覆盖</p><p>B制衡性</p><p>C审慎性</p><p>D相匹性</p>,4,D,相匹性原则是内部控制应当与管理模式、业务规模、产品复杂程度、风险状况程度相适应，并根据情况变化及时进行调整。,0,0
1,(单选题)期货按照交易的（）的不同可分为商品期货和金融期货。,<p>A资产</p><p>B标的物</p><p>C方式</p><p>D工具</p>,4,B,期货按照交易的标的物(也称基础资产)的不同可分为商品期货和金融期货。,0,0
1,(单选题)区域分析是对区域发展的影响因素进行分析，下列不是影响区域发展的是（）。,<p>A自然条件</p><p>B政治制度</p><p>C社会经济背景</p><p>D社会经济特征</p>,4,B,区域分析主要是对区域发展的自然条件和社会经济背景，特征及其对区域经济发展的影响进行分析。,0,0
1,"(单选题)商业银行按照约定条件向客户保证本金支付,本金以外的投资风险由客户承担并依据实际投资收益情况确定客户实际收益的理财计划是（）。",<p>A保证收益理财计划</p><p>B固定收益理财计划</p><p>C保本浮动收益理财计划</p><p>D非保本浮动收益理财计划</p>,4,C,保本浮动收益理财计划是指商业银行按照约定条件向客户保证本金支付，本金以外的投资风险由客户承担，并依据实际投资收益情况确定客户实际收益的理财计划。,0,0
1,(单选题)商业银行根据约定条件和实际投资收益情况向客户支付收益，但并不保证客户本金安全的理财计划是（）。,<p>A保本浮动收益理财计划</p><p>B固定收益理财计划</p><p>C保证收益理财计划</p><p>D非保本浮动收益理财计划</p>,4,D,非保本浮动收益理财计划是指商业银行根据约定条件和实际投资收益情况向客户支付收益，但并不保证客户本金安全的理财计划。,0,0
1,"(单选题)商业银行受政策性银行的委托.对其自主发放的货款代理结算,并对其账户资金进行监管,这属于商业银行的（）。",<p>A代理业务</p><p>B托管业务</p><p>C支付结算业务</p><p>D承诺业务</p>,4,A,代理政策性银行业务是，指商业银行受政策性银行的委托，自主发放的贷款代理结算，并对其账户资金进行监管的中间业务。,0,0
1,(单选题)商业银行销售理财产品应当遵循（）原则。,<p>A公平、公开、公正</p><p>B公平、平衡、公开</p><p>C公正、公开、平衡</p><p>D公平、平衡、公正</p>,4,A,商业银行销售理财产品，应当遵循公平、公开、公正原则，充分揭示风险，保护客户合法权利，不得对客户进行误导销售。,0,0
1,(单选题)商业银行组织构架庞大而复杂，类型有多种，从企业法人角度划分，商业银行的组织构架可划分为（）和多法人制组织构架。,<p>A单一法人制组织构架</p><p>B统一法人制组织构架</p><p>C特殊法人制组织构架</p><p>D—般法人制组织构架</p>,4,B,现代商业银行组织构架庞大而复杂，类型有多种，从企业法人角度划分，商业银行的组织构架可划分为统一法人制组织构架和多法人制组织构架。,0,0
1,(单选题)申请人一旦在基础交易项下违约，银行承担向受益人返还预付款的保证责任，这种保函属于（）,<p>A预付款保函</p><p>B即期付款保函</p><p>C履约保函</p><p>D延期付款保函</p>,4,A,预付款保函，又称还款保函，指担保人（银行）根据申请人（合同的预计收款人，通常情况下是出口商）的要求向受益人（合同中的预付人，通常是进口商）开立的，保证一旦申请人未能履行，或者未能全部履行，将在收到受益人提出索赔后向其返还该预付款的书面保证承诺。,0,0
1,(单选题)实贷实付的关键是（）,<p>A有效鉴别客户身份，了解借贷用途</p><p>B让借款人按照合同的约定用途，减少贷款挪用的风险</p><p>C防止不法分子冒名套取银行贷款</p><p>D及时调整与借款人合作的策略和内容</p>,4,B,实货实付的关键是让借款人按照合同的约定用途，减少货款的挪用的风险。,0,0
1,(单选题)授信额度的有效期是按照双方协议规定的，通常为（）。,<p>A半年</p><p>B一年</p><p>C两年</p><p>D三年</p>,4,B,授信额度的有效期按照双方协议规定（通常为一年），适用于规定期限内的各类授信业务主要用于解决客户短期的流动资金需要。,0,0
1,(单选题)通用汽车金融服务公司与上海汽车集团财务公司共同合资组建"上海通用汽车金融有限责任公司"，下列业务中其可以从事的业务是（）,<p>A接受境内股东单位活期存款</p><p>B接受公众存款</p><p>C提供购车贷款</p><p>D办理个人耐用消费品贷款</p>,4,C,《汽车金融公司管理办法》规定，经银监会批准，汽车金融公司可以从事以下部分或全部的业务：接受境内股东单位3个月以上期限的存款；提供购车贷款业务；办理汽车经销商采购车辆贷款和营运设备贷款；转让和出售汽车贷款应收款业务；向金融机构借款；为贷款购车提供担保；与购车融资活动相关的代理业务；以及经银监会批准的其他信贷业务等。,0,0
1,"(单选题)为满足监管要求,促进商业银行审慎经营，维持金融体系稳定而规定的银行必须持有的资本是（）。",<p>A经济资本</p><p>B会计资本</p><p>C核心资本</p><p>D监管资本</p>,4,D,"监管资本，指银行监管当局为了满足监管要求,促进商业银行审慎经营，维持金融体系稳定而规定的银行必须持有的资本。",0,0
1,(单选题)我国《担保法规定》，一般保证的保证人与债权人未约定保证期间的保证期间为主债务履行期届满之日起（）。,<p>A一个月</p><p>B三个月</p><p>C六个月</p><p>D一年</p>,4,C,我国《担保法规定》，一般保证的保证人与债权人未约定保证期间的保证期间为主债务履行期届满之日起六个月。,0,0
1,(单选题)我国商业银行办理个人零存整取定期存款的起存金额是（）。,<p>A1元</p><p>B5元</p><p>C10元</p><p>D50元</p>,4,B,我国商业银行办理个人零存整取定期存款的起存金融是5元。,0,0
1,(单选题)我国银行业的非利息收入一般占营业收入的（）。,<p>A0.35</p><p>B0.4</p><p>C0.25</p><p>D15%-20%</p>,4,D,发达国家的银行业中，非利息收入一般都占其营业收入40%以上，而在中国，这个比例只有15%-20%.,0,0
1,(单选题)物权具有不容他人侵犯的性质是指（）。,<p>A物权具有排他性</p><p>B物权具有追及力</p><p>C物权是绝对权</p><p>D物权是支配权</p>,4,A,物权的排他性一方面是指物权具有不容他人侵犯的性质，另一方面是指同一物上不得同时成立两个不相容的物权。,0,0
1,(单选题)下例选项中关于香港银行公会的说法错误的是（）。,<p>A根据《香港银行公会条例》成立</p><p>B于1981年成立的法定团体</p><p>C以取代香港外汇银行公会</p><p>D香港的银行牌照是由香港金融管理局发出，所以持牌银行可以不成为公会会员</p>,4,D,"香港银行公会是根据《香港银行公会条例》于1981年成立的法定团体,以取代香港外汇银行公会。虽然香港的银行牌照是由香港金融管理局发出，但持牌银行必须成为公会会员才能在香港特别行政区经营业务，亦因而同时受公会的规章所约束。",0,0
1,(单选题)下列不属于金融凭证诈骗犯罪行为对象的是（）,<p>A汇款凭证</p><p>B银行存单</p><p>C银行支票</p><p>D委托收款凭证</p>,4,C,金融凭证诈骗罪，是指以非法占有为目的，采用虚构事实，隐瞒真相的方法，使用伪造，变造的委托收款凭证，汇款凭证，银行存单等其他银行结算凭证进行诈骗活动的行为。,0,0
1,(单选题)下列不属于商业银行公司治理制衡机制的是（）。,<p>A决策执行</p><p>B职责边界</p><p>C组织架构</p><p>D履职要求</p>,4,A,商业银行公司治理，是指股东大会、董事会、监事会、高级管理层、股东及其他利益相关者之间的相互关系，包括组织架构、职责边界、履职要求等治理制衡机制。执行、监督、激励约束等治理运行机制。,0,0
1,(单选题)下列不属于中国人民银行法定职责的是（）。,<p>A依法制定和执行货币政策</p><p>B实施外汇管理，监督管理银行间外汇市场</p><p>C发行人民币，管理人民币流通</p><p>D对银行业金融机构实行监督管理</p>,4,D,根据中国人民银行法，第四条规定的中国人民银行的职责来分析的。,0,0
1,(单选题)下列关于贷款利率的说法错误的是（）。,<p>A贷款利率越高，金融机构的利息收入就越多</p><p>B贷款利率一般高于存款利率</p><p>C贷款利率与存款利率之差为存贷利差</p><p>D贷款利率是商业银行利润的重要来源</p>,4,D,存贷利差是商业银行利润的重要来源。,0,0
1,(单选题)下列关于风险监测报告说法错误的是（）。,<p>A高管层需要全行风险轮廓的报告</p><p>B金融市场业务交易的人员需要具体头寸报告</p><p>C监事会需要全行的风险报告</p><p>D风向管理委员会要求提供风险防控与化解报告</p>,4,C,高管层需要的是全行风险的轮廓报告，从事金融市场业务交易的人员需要的是具体头寸的报告，风险管理委员会则要求提供风险防控与化解报告，以协助制定风险管理策略等。,0,0
1,(单选题)下列关于票据转贴现的表述，错误的是（）。,<p>A金融机构为了取得资金而转让票据的行为</p><p>B商业银行从中央银行融通资金的一种方式</p><p>C所使用的票据是未到期的已贴现商业汇票</p><p>D金融机构之间融通资金的一种方式</p>,4,B,商业银行从中央银行融通资金的一种方式叫再贴现。票据转贴现是指金融机构为了取得资金，将未到期的已贴现商业汇票再以卖断方式向另一金融机构转让的票据行为，是金融机构间融通资金的一种方式。,0,0
1,(单选题)下列关于商业银行授信额度与实际授信业务额度之间的关系的表示，正确的是（）。,<p>A商业银行授信额度转换为实际授信业务额度具有不确定性</p><p>B商业银行授信额度与实际授信业务额度相等</p><p>C商业银行授信额度一定小于实际授信业务额度</p><p>D在商业银行授信额度内客户随时可获得实际授信</p>,4,A,由于从授信额度转化为实际授信业务存在一定的不确定性，因此，授信额度可以被歧视商业银行对客户的一种授信承诺。,0,0
1,(单选题)下列关于信用卡的表达，错误的是（）。,<p>A持卡人可在信用额度内先使用后还款</p><p>B信用卡具有网上购物、转账结算等功能</p><p>C信用卡消费信贷一般有最低还款额要求</p><p>D信用卡透支额度根据持卡人缴存的备用金额度核定</p>,4,D,需要缴存备用金的是信用卡中的准贷记卡，不是所有的都要缴存。,0,0
1,(单选题)下列属于商业银行的承诺业务的是（）。,<p>A备用信用证</p><p>B银行保函</p><p>C项目贷款承诺</p><p>D不可撤销信用证</p>,4,C,贷款承诺业务：项目贷款承诺、开立信贷证明、客户授信额度、票据发行便利。,0,0
1,(单选题)下列选项中不属于非银行金融机构的是（）。,<p>A信托公司</p><p>B村镇银行</p><p>C金融租赁公司</p><p>D货币经纪公司</p>,4,B,非银行金融机构：金融资产管理公司、信托公司、企业集团财务公司、金融租赁公司、汽车金融公司、货币经纪公司贷款公司、消费金融公司。,0,0
1,(单选题)下列罪名中，个人不能构成犯罪主题的是（）。,<p>A背信用受托财产罪</p><p>B违规出具金融票证罪</p><p>C吸收客户资金不入账罪</p><p>D违法发放贷款罪</p>,4,A,背信运用受托财产罪，是指银行或其他金融机构违背受托义务，擅自运用客户资金或者其他委托，信托的财产，情节严重的行为。本罪的犯罪主体为特殊主体，即为“商业银行，证交易所，证公司，期货经纪公司，保险公司或者其他金融机构”，个人不能构成本罪的主体。,0,0
1,(单选题)信用风险可以按（）等方式进行分类。,<p>A风险能否分散、发生的形式、风险特征的暴露与引起风险主体的不同</p><p>B产生的原因、发生的形式、风险特征的暴露与引起风险主体的不同</p><p>C风险能否分散、发生的形式、风险标的</p><p>D产生的原因、发生的形式、风险标的</p>,4,A,按照风险能否分散可以分为系统性信用风险和非系统性信用风险；按照风险发生的形式可分为结算前风险和结算风险；按照风险特征的暴露与引起风险主体的不间，可分为主权信用风险暴露、金融机构信用风险暴露、零售信用风险暴露、公司信用风险暴露、股权信用风险暴露和其他信用风险暴露六大类。,0,0
1,(单选题)一般情况下，货币需求量与收入水平成（）。,<p>A正比</p><p>B反比</p><p>C不构成比例</p><p>D以上都不对</p>,4,A,一般情况下，货币需求量与收入水平成正比，当居民，企业等经济主体的收入增加时，他们对货币的需求也会增加，当期收入减少时，他们对货币的需求也会减少。,0,0
1,(单选题)以不正当方式吸收存款的商业银行，由银监会责令改正，违法所得在五十万元以上的，处（）罚款。,<p>A1倍以上三倍以下</p><p>B一倍以上五倍以下</p><p>C五十万元以上二百万元以下</p><p>D五十万元以上五百万元以下</p>,4,B,以不正当方式吸收存款的商业银行，由银监会责令改正，违法所得在五十万元以上的，处一倍以上5倍以下罚款。,0,0
1,(单选题)以下不属于商业银行内部控制的目标的是（）。,<p>A保证商业银行健康、可持续发展的基石，也是银监会对商业银行法人监管的重点</p><p>B保证商业银行发展战略和经营目标的实现</p><p>C保证商业银行风险管理的有效性</p><p>D保证商业银行业务记录、会计信息、财务信息和其他信息的真实、准确、完整和及时</p>,4,A,商业银行内部控制的目标包括四个方面，保证国家有关法律及规章的贯彻执行；保证商业银行发展战略和经营目标的实现；保证商业银行风险管理的有效性；保证商业银行业务记录、会计信息、财务信息和其他信息的真实、准确、完整和及时。,0,0
1,(单选题)以下不属于现代商业银行的特点的是（）,<p>A利息水平适当</p><p>B信息功能扩大</p><p>C贷款利息很高</p><p>D具有信用创造功能</p>,4,C,现代商业银行具有的特点：一是利息水平适当，二是信用功能扩大，三是具有信用创造功能。,0,0
1,(单选题)以下不属于银行经营管理评价的基本指标是（）。,<p>A规模指标</p><p>B效率指标</p><p>C流动性指标</p><p>D风险程度指标</p>,4,D,D选项不属于银行管理的基本指标,0,0
1,(单选题)以下关于贷款公司的说法正确的是（）。,<p>A单一集团企业客户的授信余额不得超过资本金额的10％</p><p>B贷款公司对同一借款人的贷款余额不得超过资本净额的15％</p><p>C贷款公司的营运资金来源包括实收资本，向投资人的借款，向起亚金融机构融资但融资资金余额不得超过其资本净额的50％</p><p>D2008年9月，银监会发布并实施了《贷款公司管理规定》</p>,4,C,单一集团企业客户的授信余额不得超过资本金额的15％，贷款公司对同一借款人的贷款余额不得超过资本净额的10％，2009年8月，银监会发布并实施了《贷款公司管理规定》,0,0
