1,(单选题)民法调整的对象包括两大类，分别是平等主体之间的（）,<p>A人生关系财产关系</p><p>B人身关系财产关系</p><p>C人身关系社会关系</p><p>D人生关系经济关系</p>,4,B,民法调整的对象包括两大类，分别是平等主体之间的人身关系和财产关系。,0,0
1,(单选题)（）是指将金融机构和金融市场一般按照银行、证券、保险分为三个领域，分别设置专业的监管机构负责包括审慎监管在内的全面监管。,<p>A统一监管型</p><p>B单一全能型</p><p>C多头监管型</p><p>D“双峰”监管型</p>,4,C,多头监管型是指将金融机构和金融市场一般按照银行、证券、保险分为三个领域，分别设置专业的监管机构负责包括审慎监管在内的全面监管。,0,0
1,(单选题)（）是指民事主体应依据社会公认的公平观念从事民事活动，以维持当事人之间的利益均衡。,<p>A公平原则</p><p>B平等原则</p><p>C自愿原则</p><p>D公正原则</p>,4,A,公平原则是指民事主体应依据社会公认的公平观念从事民事活动，以维持当事人之间的利益均衡。,0,0
1,(单选题)（）是指丧失偿债能力的债务人与债权人之间就延期、分期清偿债务或者免除债务达成协议，以中止破产程序，防止债务人破产的法律制度。,<p>A和解</p><p>B重整</p><p>C中止</p><p>D合并</p>,4,A,和解是指丧失偿债能力的债务人与债权人之间就延期、分期清偿债务或者免除债务达成协议。以中止破产程字，防止债务人破产的法律制度。,0,0
1,(单选题)（）是指银行应申请人的要求，向受益人作出的书面付款保证承诺，银行将凭受益人提交的与条款相符的书面索赔赔履行担保支付或赔偿责任。,<p>A承兑汇率</p><p>B银行保函</p><p>C承诺业务</p><p>D信贷证明</p>,4,B,银行保函是指银行应申请人的要求，向受益人作出的书面付款保证承诺，银行将凭受益人提交的与条款相符的书面索赔赔履行担保支付或赔偿责任。,0,0
1,(单选题)（）是指在约定期限内交换约定数量两种货币的本金，同时定期交换两种货币利息的交易。,<p>A利率互换</p><p>B货币互换</p><p>C商品期货</p><p>D金融期货</p>,4,B,货币互换是指在约定期限内交换约定数量两种货币的本金，同时定期交换两种货币利息的交易。,0,0
1,(单选题)（）旨在保护开证行的利益。,<p>A可撤销的备用信用证</p><p>B不可撤销的备用信用证</p><p>C可承诺的备用信用证</p><p>D不可承诺的备用信用证</p>,4,A,可撤销的备用信用证旨在保护开证行的利益，开证行是是根据申请人的请求和指示开证的.如果没有申请人的指示。开证行是不会随意撤销信用证的。,0,0
1,(单选题)（）指由于汇率波动造成的以基准计价的资产遭受价值损失和财务损失的可能性。,<p>A银行账户利率风险</p><p>B流动性风险</p><p>C资金风险</p><p>D汇率风险</p>,4,D,汇率风险指由于汇率波动造成的以基准计价的资产遭受价值损失和财务损失的可能性。,0,0
1,(单选题)《商业银行法》规定，对任何单位和个人购买商业银行股份总额达（）以上的，应当事先经银监会批准。,<p>A0.03</p><p>B0.05</p><p>C0.1</p><p>D0.2</p>,4,B,《商业银行法》规定，对任何单位和个人购买商业银行股份总额达5%以上的，应当事先经银监会批准。,0,0
1,(单选题)《证券法》贯彻的最基本的原则是（）。,<p>A平等、自愿、有偿、诚实信用原则</p><p>B合法原则</p><p>C三公原则</p><p>D分业经营、分业管理原则</p>,4,C,《证券法》贯彻的最基本的原则是三公原则。,0,0
1,(单选题)2015年3月31日，（）公布《存款保险条例》。并于2015年5月1日起正式实施。,<p>A证监会</p><p>B银监会</p><p>C国务院</p><p>D中央银行</p>,4,C,2015年3月31日，国务院公布《存款保险条例》。并于2015年5月1日起正式实施。,0,0
1,(单选题)—般认为，以消费为主的零售业务具有更大的发展空间，其中（）较高，可以获取更高的收益，银行应扩大零售贷款的份额。,<p>A消费性贷款利率</p><p>B投资贷款利率</p><p>C经营性贷款利率</p><p>D生产贷款利率</p>,4,C,一般认为，以消费为主的零售业务具有更大的发展空间，其中经营性贷款利率较高，可以获取更高的收益，银行应扩大零售贷款的份额。,0,0
1,(单选题)备用信用证是开证行应借款人的要求，以（）作为信用证的受益人而开具的一种特殊信用证，以保证在借款人不能及时履行义务或破产的情况下，由开证行向受益人及时支付本利。,<p>A借款人</p><p>B收款人</p><p>C放款人</p><p>D申请人</p>,4,C,备用信用证是开证行应借款人的要求，以放款人作为信用证的受益人而开具的一种特殊信用证，以保证在借款人不能及时履行义务或破产的情况下，由开证行向受益人及时支付本利。,0,0
1,(单选题)本行信贷资金不得为本行理财产品提供融资和担保的是（）。,<p>A自营业务与代客业务相分离</p><p>B理财业务与信贷业务相分离</p><p>C银行理财与银行代销的第三方机构理财产品相分离</p><p>D银行理财产品之间相分离</p>,4,B,理财业务与信贷业务相分离是指理财产品的资金来源和资金运用相对应，独立于银行业务，本行信贷资金不得为本行理财产品提供融资和担保。,0,0
1,(单选题)不属于其他金融机构的是（）,<p>A期货公司</p><p>B金融控股公司</p><p>C小额贷款公司</p><p>D第三方支付公司</p>,4,A,"其他金融机构是金融体系的重要组成部分,主要包括金融控股公司，小额贷款公司和第三方支付公司融资性担保公司等准金融机构。",0,0
1,(单选题)财务制度顾问是商业银行对客户现行财务制度进行重新设计，提出有关的建议方案，其作用不包括（）,<p>A协助客户合理调整融资结构</p><p>B帮助客户降低财务成本</p><p>C优化财务结构</p><p>D提高财务管理效率和质量</p>,4,A,财务制度顾问是商业银行对客户现行财务制度进行重新设计，提出有关的建议方案，帮助客户降低财务成本，优化财务结构，提高财务管理效率和质量。,0,0
1,(单选题)诚信申贷的内容不包括（）。,<p>A借款人恪守诚实守信原则</p><p>B按照货款人要求的具体方式和内容提供货款申请材料</p><p>C货款人与借款人签订完备的货款合同等协议文件</p><p>D借款人应证明其设立合法、经营管理合规合法</p>,4,C,诚信申贷的实质包含两方面内容：一是借款人恪守诚实守信原则，按照贷款人要求的具体方式和内容提供贷款申请材料，并且承诺所提供材料是真实、完整、有效的；二是借款人应证明其设立合法、经营管理合规合法、借用记录良好、贷款用途明确合法以及还款来源明确合法。,0,0
1,(单选题)存款业务属于商业银行的（）。,<p>A负债业务</p><p>B资产业务</p><p>C中间业务</p><p>D贷款业务</p>,4,A,商业银行负债主要是由存款和借款构成。,0,0
1,(单选题)当前，我国商业银行面临的最主要的风险是（）,<p>A信用风险</p><p>B市场风险</p><p>C流动性风险</p><p>D国家风险</p>,4,A,信用风险是银行最为复杂的风险种类，也是银行面临的主要的风险。,0,0
1,(单选题)等同于贷款的授信业务转换系数为（）,<p>A0.75</p><p>B1.5</p><p>C1</p><p>D0.5</p>,4,C,等同于贷款的授信业务转换系数为100％。,0,0
1,(单选题)对不实施内部评级法的商业银行，需要运用（）计算全行表外资产的信用风险加权资产，对实施内部评级法覆盖内外资产使用（）计算信用风险加权资产。,<p>A权重法，内部评级法</p><p>B指数法，内部评级法</p><p>C权重法，影子价法</p><p>D指数法，影子价法</p>,4,A,对不实施内部评级法的商业银行，需要运用权重法计算全行表外资产的信用风险加权资产，对实施内部评级法覆盖表内外资产使用内部评级法计算信用风险加权资产，未覆盖的表内外资产使用权重法计算信用风险加权资产。,0,0
1,(单选题)房屋租赁期满以后，出租人仍然接受承租人继续缴纳的租金，视为双方同意延长租赁期限。这种民事法律行为的（）形式。,<p>A推定形式</p><p>B沉默形式</p><p>C口头形式</p><p>D书面形式</p>,4,A,推定形式是指行为人口头或书面的意思表示，但他人可以通过其积极行为推定其意思表示。,0,0
1,(单选题)风险控制的措施包括（）。,<p>A分散、对冲、转移、避免</p><p>B分散、转移、避免、补偿</p><p>C补偿、规避、分散、转移</p><p>D对冲、避免、分散、分散</p>,4,C,风险控制是对经过识别和计量的风险采取分散、对冲、转移、规避。,0,0
1,(单选题)根据《中华人民共和国票据法》，下列关于票据的表述错误的是（）。,<p>A付款人是指在票据上签名并发出票据的人，或者说是签发票据的人。</p><p>B票据都有三方基本当事人</p><p>C票据是一种有效证券</p><p>D票据是无条件支付或无条件委托支付一定金额的凭证</p>,4,A,收款人是指从发票人那里接受票据并有权向付款人请求付款的人。出票人是指在票据上签名并发出票据的人，或者说是签发票据的人。,0,0
1,(单选题)根据《中华人民共和国刑法》规定使用伪造、变造的委托收款凭证、汇款凭证、银行存单等银行结算凭证进行诈骗活动的行为涉嫌构成（）。,<p>A贷款诈骗案</p><p>B信用证诈骗案</p><p>C金融凭证诈骗案</p><p>D票据诈骗案</p>,4,C,金融凭证骗罪，是指以非法占有为目的，采用虚构事实、隐瞒相的方法.使用伪造、变造的委托收款凭证、汇款凭证、银行存单等其他银行结算凭证进行诈骗活动的行为。,0,0
1,(单选题)公司贷款基本流程中贷后管理的主要内容不包括（）。,<p>A监督借款人的贷款使用情况</p><p>B跟踪掌握企业财务状况及其清偿能力</p><p>C检查贷款抵押品和担保品权益的完整性</p><p>D管理借款人的信贷档案</p>,4,D,贷后管理的主要内容包括监督借款人的贷款使用情况、跟踪掌握企业财务状况及其清偿能力、检查贷款抵押品和担保品权益的完整性等三个方面。,0,0
1,(单选题)股东大会年会应当由（）在每一会计年度结束后（）个月内召集和召开。,<p>A董事会；6</p><p>B董事会；3</p><p>C高级管理层；6</p><p>D高级管理层；3</p>,4,A,股东大会年会应当由董事会在每一会计年度结束后6个月内召集和召开。,0,0
1,(单选题)国际清算银行的总部设在（）。,<p>A美国华盛顿</p><p>B瑞士巴塞尔</p><p>C英国伦敦</p><p>D法国巴黎</p>,4,B,国运清算银行的总部设在瑞士巴塞尔。,0,0
1,(单选题)国内跨系统联行往来的资金清算必须通过（）来办理。,<p>A中国人民银行</p><p>B中国银行业监督管理委员会</p><p>C金融资产管理公司</p><p>D中国银行业协会</p>,4,A,跨系统联行往来是指结算业务发生在两家不同的银行之间的清算业务。跨系统往来的资金清算必须通过中国人民银行办理。,0,0
1,(单选题)行业组织是同一行业内的组织形态和企业间的关系，不包括（）。,<p>A市场结构</p><p>B市场行为</p><p>C市场监控</p><p>D市场绩效</p>,4,C,行业组织是同一行业内的组织形态和企业间的关系，包括市场结构、市场行为、市场绩效。,0,0
1,(单选题)汇出行应汇款人的要求，拍发加押电传或通过SWIFT（环球银行间金融电讯网络）形式，委托汇入行向指定收款人解付汇款的汇款方式是（）,<p>A信汇</p><p>B票汇</p><p>C现汇</p><p>D电汇</p>,4,D,电汇业务是指汇出行应汇款人的要求，采用加押电传或通过SWIFT（环球银行间金融电讯网络）形式，指示汇入行付款给指定收款人。,0,0
1,(单选题)接管期限届满，银监会可以决定延期，接管期限最长不得超过（）年,<p>A1</p><p>B2</p><p>C3</p><p>D4</p>,4,B,接管期限届满，银监会可以决定延期，接管期限最长不得超过2年。,0,0
1,(单选题)利率市场化形成机制相互联系的组成部分不包括（）。,<p>A市场基准利率体系</p><p>B中央银行政策利率为核心的利率调控机制</p><p>C金融机构和企业的市场定价能力和利率风险管理能力</p><p>D市场贷款利率体系</p>,4,D,利率市场化形成机制至少应包括以下相互联系的组成部分：ABC。,0,0
1,(单选题)民事法律行为没有以下哪个形式（）。,<p>A口头形式</p><p>B书面形式</p><p>C邮件形式</p><p>D推定形式</p>,4,C,民事法律行为有以下的形式：口头形式，书面形式和其他形式。其他形式主要是推定形式和沉默形式。,0,0
1,(单选题)某出口商为了降低贷款拖欠的风险，同时进口商为了规避货物不能按时收到的风险，他们可以选择的最佳结算方式是（）。,<p>A汇票</p><p>B本票</p><p>C支票</p><p>D信用证</p>,4,D,商业银行支付结算方式：汇票、本票、支票、汇款、信用证、托收。信用证是一项独立于贸易合同之外的契约。,0,0
1,(单选题)某企业用于政策性房地产开发的资金一般可开设的存款账户是（）。,<p>A基本存款账户</p><p>B一般存款账户</p><p>C专用存款账户</p><p>D临时存款账户</p>,4,C,专用存款账户是指存款人对其特定用途的资金进行专项管理和使用而开立的银行结算账户。存款人以下特定用途的资金可以开立专用存款账户：基本建设资金、期货交易保证金、信托基金、金融机构存放同业资金、政策性房地产开发资金、单位银行卡备用金、住房基会、社保基会、收入汇缴资金和业务支出资金，组织机构经费等。,0,0
1,(单选题)目前成熟股票市场普遍采用的发行制度是（）。,<p>A审批制</p><p>B核准制</p><p>C注册制</p><p>D会员制</p>,4,C,目前成熟股票市场普遍采用的发行制度是注册制。,0,0
1,(单选题)目前主要的部门规章和规范性文件以（）的形式发布。,<p>A管理办法和管理条例</p><p>B管理条例和管理指引</p><p>C管理指引和管理法</p><p>D管理办法和管理指引</p>,4,D,目前主要的部门规章和规范性文件以管理办法和管理指引的形式发布。,0,0
1,(单选题)破产财产在优先清偿破产费用和共益债务后，依照下列顺利清偿（）。,<p>A破产人所欠工资一破产人欠缴的社会保险费用和税款一普通破产债权</p><p>B破产人欠缴的社会保险费用和税款一破产人所欠工资一普通破产债权</p><p>C普通破产债权一破产人欠缴的社会保险费用和税款一破产人所欠工资</p><p>D普通破产债权一破产人欠缴的税款一破产人所欠社会保险费用</p>,4,A,破产财产在优先清偿破产费用和共益债务后，依照下列顺利清偿：破产人所欠工资一破产人欠缴的社会保险费用和税款一普通破产债权,0,0
1,(单选题)前进机械厂购买一批设备急需资金500万元，向甲商业银行申请贷款，并请市第三人民医院提供保证。按照法律规定，该医院（）。,<p>A银行同意即可担保</p><p>B可以担保</p><p>C不能担保</p><p>D如有足够清偿能力即可</p>,4,C,学校、幼儿园、医院等以公益为目的的事业单位、社会团体不得为保证人。,0,0
1,(单选题)擅自设立银行业金融机构或者非法从事银行业金融机构的业务活动的，尚不构成犯罪的，由银监会没收违法所得，没有违法所得或者违法所得不足五十万元的，处（）罚款。,<p>A一倍以上五倍以下</p><p>B一倍以上三倍以下</p><p>C五十万元以上二百万元以下</p><p>D五十万元以上一百万元以下</p>,4,C,擅自设立银行业金融机构或者非法从事银行业金融机构的业务活动的，尚不构成犯罪的，由银监会没收违法所得，没有违法所得或者违法所得不足五十万元的，处五十万元以上二百万元以下罚款。,0,0
1,(单选题)商业银行的最高风险管理和决策机构是（）。,<p>A监事会</p><p>B股东会</p><p>C董事会</p><p>D管理层</p>,4,C,董事会是商业银行的最高风险管理和决策机构，承担商业银行风险管理的最终责任。,0,0
1,(单选题)商业银行实现良好的风险识别所应遵循的原则是（）。,<p>A简单化与主观性原则</p><p>B简单化与客观性原则</p><p>C科学化与复杂化原则</p><p>D全面性和前瞻性原则</p>,4,D,良好的风险识别应遵循全面性和前瞻性的原则。即风险识别应尽可能多地识别出银行所面临的风险类别，确保覆盖银行面临的所有实质性风险，同时，风险识别更重要的是前瞻性地考察风险的变化趋势以及可能出现的新的风险类别和性质。,0,0
1,(单选题)商业银行向某企业因一次性进货的临时性资金，需要和支付性资金不足发放的贷款一般是（）。,<p>A项目贷款</p><p>B临时流动资金贷款</p><p>C贸易融资</p><p>D固定资产贷款</p>,4,B,临时流动性资金贷款，期限在3个月（含）以内，主要用于企业一次性进货的临时性资金需要和弥补其他支付性资金不足。,0,0
1,(单选题)商业银行应当于每一会计年度终了（）个月内，按照银监会的规定公布其上一年度的经营业绩和审计报告。,<p>A1</p><p>B3</p><p>C4</p><p>D6</p>,4,B,商业银行应当于每一会计年度终了3个月内，按照银监会的规定，公布其上一年度的经营业绩和审计报告。,0,0
1,(单选题)涉外民事诉讼的涉外因素不包括（）。,<p>A诉讼主体涉外</p><p>B作为诉讼标的法律事实涉外</p><p>C诉讼主体的亲属涉外</p><p>D诉讼标的物涉外</p>,4,C,涉外因素有三种情况：诉讼主体涉外、作为诉讼标的法律事实涉外、诉讼标的物涉外。,0,0
1,(单选题)失业率是指劳动力人口中失业人数所占的百分比。其中劳动力人口是指（）。,<p>A具有劳动能力的人的全体</p><p>B16岁以上具有劳动能力的人的全体</p><p>C18岁以上的人的全体</p><p>D16岁以上的人的全体</p>,4,B,失业率是指劳动力人口中失业人数所占的百分比。劳动力人口是指16岁以上具有劳动能力的人的全体。,0,0
1,(单选题)市净率的计算公式（）。,<p>A市净率=股票价格（p）/每股收益（E）</p><p>B市净率=净利率/期末总股本</p><p>C市净率=每股市价（p）/每股净资产</p><p>D市净率=净利润/资本净额</p>,4,C,市净率的计算公式是市净率=每股市价（p）/每股净资产,0,0
1,(单选题)随着银行业金融机构的经营活动日益综合化和国际化，当前银行业金融机构普遍把（）作为银行业金融机构一项核心的风险管理活动。,<p>A公司治理</p><p>B内部控制</p><p>C合规管理</p><p>D风险指标</p>,4,C,当前，银行业金融机构普遍把合规管理作为银行业金融机构一项核心的风险管理活动。,0,0
1,(单选题)网络传言某银行因为一笔违规房贷可能导致重大损失，记者王某找到该支行的一位朋友李某欲进行采访，在这种情况下（）。,<p>A李某不应自行代表所在机构接受新闻媒体采访</p><p>B李某本着诚实守信的原则，有责任对王某将他所知道的情况实话实说</p><p>C李某本着维护所在机构的形象和声誉的原则，应当对该传言断然否认</p><p>D如果王某答应不对外宣传，李某就可以将他所知道的情况告知</p>,4,A,银行业从业人员应当遵守所在机构关于接受媒体采访的规定，不擅自代表所在机构接受新闻媒体采访，或擅自代表所在机构对外发布信息。,0,0
1,(单选题)委托人有权查阅、抄录、或者复制与其信托财产有关的信托账目以及处理信托事务的其他文件，体现了委托人（）的权利。,<p>A管理方法变更权</p><p>B知情权</p><p>C解任权</p><p>D撤销汉</p>,4,B,委托人有权查阅、抄录、或者复制与其信托财产有关的信托账目以及处理信托事务的其他文件，体现了委托人知情权的权利。,0,0
1,(单选题)我国目前货币供给量按（）划分层次。,<p>A需求量</p><p>B流动性</p><p>C通货膨胀</p><p>D商品种类</p>,4,B,现阶段，我国按流动性不同将货币供应量划分为三个层次。,0,0
1,(单选题)我国外汇管理实行的是（）。,<p>A固定汇率制度</p><p>B浮动汇率制度</p><p>C有管理的浮动汇率制度</p><p>D市场调节汇率制度</p>,4,C,中共中央十四届三中全会在《关于建立社会主义市场经济体制若干问题的决定》中提出"建立以市场为基础的有管理的浮动汇率制度"的改革方向。,0,0
1,(单选题)我国中央银行是代表政府干预经济，管理金融的特殊的金融机构，成立于（）,<p>A1919年</p><p>B1948年</p><p>C1937年</p><p>D1926年</p>,4,B,我国中央银行成立于1948年。,0,0
1,(单选题)下例关于商业银行货款业务的表达错误的是（）。,<p>A商业银行可向关系人发放信用货款，但条件不得优于其他借款人同类货款的条件</p><p>B对同一借款人的货款余额与商业银行资本余额的比例不得超过10％</p><p>C商业银行可以向关系人发放担保贷款</p><p>D商业银行不能利用拆入资金进行固定资产贷款</p>,4,A,商业银行向关系人发放担保贷款，但条件不得优于其他信款人同类贷款的条件。商业银行不得向关系人发放信用贷款，,0,0
1,(单选题)下列不符合银行业从业人员职业操守中“了解客户”规定的是（）。,<p>A为未带有效身份证的熟悉客户新开账户</p><p>B了解客户的财务状况</p><p>C了解客户风险承受能力</p><p>D大额取款要求客户提供身份证件</p>,4,A,参见教材302页。,0,0
1,(单选题)下列不属于商业银行代收代付业务的是（）。,<p>A代收水费</p><p>B代理资金结算</p><p>C代收电费</p><p>D代发工资</p>,4,B,代收代付业务主要包括代理各项公用事业收费，代理行政事业性收费和财政性收费，代发工资，代扣住房按揭消费贷款等。目前主要是委托收款和托收承付两类。,0,0
1,(单选题)下列不属于银行间市场交易商协商管理的是（）。,<p>A外汇市场</p><p>B同业拆借市场</p><p>C票据市场</p><p>D期货市场</p>,4,D,属于银行间市场交易商协会管理的是外汇市场、同业拆借市场、银行间债券市场、票据市场和黄金市场等。,0,0
1,(单选题)下列关于《中国人民共和国商业银行法》所规定的“关系人”的表述，正确的是（）。,<p>A商业银行不得向关系人发放贷款</p><p>B商业银行关系人指自然人，如银行董事</p><p>C商业银行不得向关系人发放信用贷款</p><p>D商业银行向关系人发放担保贷款的条件可以优于其他借款人同类贷款的条件</p>,4,C,《商业银行法》第四十条规定：“商业银行不得向关系人发放信用贷款；向关系人发放担保贷款的条件不得优于其他借款人同类贷款的条件。”“前款所称关系人是指：（一）商业银行的董事、监事、管理人员、信贷业务人员及其近亲；（二）前项所列人员投资或者担任高级管理职务的公司、企业和其他经济组织。,0,0
1,(单选题)下列关于董事监事履行评价说法正确的是（）。,<p>A商业银行应当每季度对所有在职董事进行履职评价</p><p>B被评为不称职董事，董事会，监事会应当组织会谈，向董事本人提出限期改进要求，如长期未能有效改进，商业银行应当更换董事</p><p>C高级管理层是商业银行公司治理中的关键主体</p><p>D根据董事的履职情况吗，依据评价结果将董事划分称职，基本称职和不称职</p>,4,D,根据董事的履职情况，依据评价结果将董事划分称职，基本称职和不称职。,0,0
1,(单选题)下列关于理财业务的特点，说法不正确的是（）。,<p>A商业银行理财业务运用的资金是客户委托的资金</p><p>B客户与银行共同承担理财业务的风险</p><p>C银行理财业务是"轻资本"业务</p><p>D理财业务是一项金融知识技术密集型业务</p>,4,B,理业务的特点包括:1.商业银行理财业务运用的资金是客户委托的资金；2.客户是理财业务的风险主要承担者；3.银行理财业务是"轻资本"业务；4.理财业务是一项金融知识技术密集型业务。,0,0
1,(单选题)下列关于商业银行借记卡使用的表述，正确的是（）。,<p>A不可以直接刷卡消费</p><p>B不可转账结算</p><p>C可以透支</p><p>D可以从ATM机取现</p>,4,D,"借记卡是指银行发行的一种要求先存款后使用银行卡，借记卡与储户的活期储蓄存款账户相联结，卡内消费，转账,ATM取款等都直接从存款账户扣划，不具备透支功能。",0,0
1,(单选题)下列关于委托人的说法不正确的是（）。,<p>A委托人提供信托财产，决定谁是受益人</p><p>B指定受托人，并有权监督受托人实施信托</p><p>C应当是具有完全民事行为能力的自然人，法人或其他依法成立的组织</p><p>D承担着管理信托理财的责任</p>,4,D,受托人承担人着管理信托财产的责任，委托人是信托关系的创设者。,0,0
1,(单选题)下列商业银行业务中，只收取手续费不承担贷款信用风险的是（）。,<p>A负债业务</p><p>B资产业务</p><p>C中间业务</p><p>D借款业务</p>,4,C,中间业务是指不构成银行表内资产。表内负债、形成银行非利息收入的业务，包括收取服务费或代客买卖差价的理财业务、咨询顾问、基金和债券的代理买卖、代客买卖资金产品、代理收费、托管、支付结算等业务。,0,0
1,(单选题)下列属于银行各级风险管理委员会责任的是（）。,<p>A风险识别</p><p>B风险监测</p><p>C风险计量</p><p>D风险控制</p>,4,D,银行的风险管理部门承担了风险识别、风险计量、风险监测的重要职责，而各级风险管理委员会承担风险控制、决策的责任。,0,0
1,(单选题)下列业务需计入商业银行授信额度的是（）。,<p>A汇款</p><p>B支票</p><p>C备用信用证</p><p>D托收</p>,4,C,参见教材120页客户授信额度:开证额度，贷款额度，开立保函额度等等，备用信用证属于贷款额度。,0,0
1,(单选题)信托的基本特征不包括（）,<p>A信托是以信任为基础，受托人应具有良好的信誉</p><p>B信托因委托人的死亡或者辞任而终止</p><p>C信托理财具有独立性</p><p>D受托人要为受益人的最大利益管理信托事务</p>,4,B,(1)、信托是以信任为基础，受托人应具有良好的信誉。(2)、信托成立的前提是委托人要将自有财产委托给受托人。(3)、信托财产具有独立性，信托依法成立后，信托财产即从委托人、受托人以及受益人的自有财产中分离出来，成为独立运作的财产。(4)、受托人为受益人的最大利益管理信托事务。（5）信托不因委托人或受托人的死亡、丧失民事行为能力、依法解散、被依法撤销或者宣告破产而终止，也不因受托人的辞任而终止，具有一定的连续性和稳定性。,0,0
1,(单选题)要求先存款后消费、不具备透支功能的银行卡是（）。,<p>A贷记卡</p><p>B信用卡</p><p>C借记卡</p><p>D准贷记卡</p>,4,C,借记卡相关知识,0,0
1,(单选题)以不正当方式吸收存款的商业银行，由银监会责令改正，没有违法所得或者违法所得不足五十万元的，处（）罚款。,<p>A一倍以上三倍以下</p><p>B一倍以上五倍以下</p><p>C五十万元以上二百万元以下</p><p>D五十万元以上五百万元以下</p>,4,C,以不正当方式吸收存款的商业银行，由银监会责令改正，没有违法所得或者违法所得不足五十万元的，处五十万元以上二百万元以下罚款。,0,0
1,(单选题)以下不属于内部控制保障体系的要素是（）。,<p>A报告机制</p><p>B风险识别</p><p>C人员管理</p><p>D信息系统控制</p>,4,B,B不正确，风险识别是属于内部控制的主要措施。,0,0
1,(单选题)以下不属于我国存款保险制度的目的的是（）。,<p>A避免系统性金融风险</p><p>B依法保护存款人的合法权益</p><p>C及时防范和化解金融风险</p><p>D维护金融稳定</p>,4,A,我国存款保险制度的目的：建立和规范存款保险制度，依法保护存款人的合法权益，及时防范和化解金融风险，维护金融稳定。,0,0
1,(单选题)以下不属于银行管理的基本指标的是（）。,<p>A规模指标</p><p>B客户集中度</p><p>C流动性</p><p>D合规风险</p>,4,D,银行经营管理评价中一般涉及到的基本指标有：规摸指标、结构指标和盈利性指标等。,0,0
1,(单选题)以下关于保证人的主体资格问题说法错误的是（）。,<p>A国家机关不得为保证人</p><p>B事业单位不得为保证人</p><p>C企业法人的分支机构可以在无法人授权的情况下成为保证人</p><p>D企业法人的职能部门提供保证的，保证合同无效。</p>,4,C,企业法人的分支机构、职能部门不得为保证人。,0,0
